Method, Sample size, Valid configs, Defective configs, Time (s)
"Random Strategy", 250, 21, 12, 0.3173637390136719, 
"Random Strategy", 500, 34, 19, 0.6532831192016602, 
"Random Strategy", 750, 64, 32, 0.948488712310791, 
"Random Strategy", 1000, 84, 55, 1.2568252086639404, 
"Random Strategy", 1250, 109, 67, 1.5737807750701904, 
"Random Strategy", 1500, 149, 82, 1.958587884902954, 
"Random Strategy", 1750, 160, 99, 2.214247465133667, 
"Random Strategy", 2000, 186, 123, 2.522155523300171, 
"Random Strategy", 2250, 186, 120, 2.8944790363311768, 
"Random Strategy", 2500, 238, 145, 3.163257598876953, 
"MonteCarlo basic (sc:iters=10)", 0, 0, 0, 0.0001316070556640625, 
"MonteCarlo basic (sc:iters=10)", 250, 150, 149, 42.02081894874573, 
"MonteCarlo basic (sc:iters=10)", 500, 297, 295, 84.0448055267334, 
"MonteCarlo basic (sc:iters=10)", 750, 433, 429, 126.965585231781, 
"MonteCarlo basic (sc:iters=10)", 1000, 579, 570, 172.09087800979614, 
"MonteCarlo basic (sc:iters=10)", 1250, 712, 705, 213.37584733963013, 
"MonteCarlo basic (sc:iters=10)", 1500, 857, 845, 259.2165253162384, 
"MonteCarlo basic (sc:iters=10)", 1750, 1003, 988, 304.4387948513031, 
"MonteCarlo basic (sc:iters=10)", 2000, 1150, 1129, 341.40878534317017, 
"MonteCarlo basic (sc:iters=10)", 2250, 1294, 1266, 390.7352955341339, 
"MonteCarlo basic (sc:iters=10)", 2500, 1427, 1405, 428.9979090690613, 
"MonteCarlo basic (sc:iters=100)", 0, 0, 0, 0.0001316070556640625, 
"MonteCarlo basic (sc:iters=100)", 250, 248, 248, 342.4859781265259, 
"MonteCarlo basic (sc:iters=100)", 500, 496, 496, 679.1615786552429, 
"MonteCarlo basic (sc:iters=100)", 750, 745, 745, 1027.8763473033905, 
"MonteCarlo basic (sc:iters=100)", 1000, 995, 995, 1368.5565438270569, 
"MonteCarlo basic (sc:iters=100)", 1250, 1242, 1242, 1736.0547504425049, 
"MonteCarlo basic (sc:iters=100)", 1500, 1493, 1492, 2065.3664903640747, 
"MonteCarlo basic (sc:iters=100)", 2500, 2480, 2480, 3386.796688079834, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 0, 0, 0, 0, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 250, 147, 145, 41.89649224281311, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 500, 308, 295, 82.49439573287964, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 750, 452, 445, 126.37395930290222, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 1000, 628, 612, 168.5219373703003, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 1250, 744, 720, 211.36880540847778, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 1500, 933, 919, 249.52268743515015, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 1750, 1092, 1057, 291.55188941955566, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 2000, 1269, 1213, 333.99940729141235, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 2250, 1388, 1360, 374.3177616596222, 
"UCT MCTS Rnd Exp (sc:iters=10, ew=0.5)", 2500, 1563, 1522, 421.8354880809784, 
"MonteCarlo basic (sc:iters=1)", 0, 0, 0, 0.0001316070556640625, 
"MonteCarlo basic (sc:iters=1)", 250, 34, 29, 8.285771369934082, 
"MonteCarlo basic (sc:iters=1)", 500, 84, 71, 16.55979609489441, 
"MonteCarlo basic (sc:iters=1)", 750, 119, 97, 24.76634955406189, 
"MonteCarlo basic (sc:iters=1)", 1000, 132, 106, 32.94817137718201, 
"MonteCarlo basic (sc:iters=1)", 1250, 186, 160, 41.228365421295166, 
"MonteCarlo basic (sc:iters=1)", 1500, 219, 168, 49.88519597053528, 
"MonteCarlo basic (sc:iters=1)", 1750, 265, 217, 59.373276472091675, 
"MonteCarlo basic (sc:iters=1)", 2000, 274, 217, 67.11806988716125, 
"MonteCarlo basic (sc:iters=1)", 2250, 364, 278, 74.05532550811768, 
"MonteCarlo basic (sc:iters=1)", 2500, 379, 297, 82.80737686157227, 
// los siguientes no valen porque se olvidó inicializar correctamente los algoritmos.
"UCT MCTS (sc:iters=1, ew=0.5)", 0, 0, 0, 0.0001285076141357422, 
"UCT MCTS (sc:iters=1, ew=0.5)", 250, 120, 115, 39.34763693809509, 
"UCT MCTS (sc:iters=1, ew=0.5)", 500, 500, 500, 187.93908739089966, 
"UCT MCTS (sc:iters=1, ew=0.5)", 750, 750, 750, 281.78405380249023, 
"UCT MCTS (sc:iters=1, ew=0.5)", 1000, 1000, 1000, 376.00705003738403, 
"UCT MCTS (sc:iters=1, ew=0.5)", 1250, 1250, 1250, 468.8061783313751, 
"UCT MCTS (sc:iters=1, ew=0.5)", 1500, 1500, 1500, 562.0455269813538, 
"UCT MCTS (sc:iters=1, ew=0.5)", 1750, 1750, 1750, 653.0519216060638, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2000, 2000, 2000, 746.1654419898987, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2250, 2250, 2250, 839.6595921516418, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2500, 2500, 2500, 932.9432685375214, 
"UCT MCTS Rnd Exp (sc:iters=1, ew=0.5)", 0, 0, 0, 0.00014662742614746094, 
"UCT MCTS Rnd Exp (sc:iters=1, ew=0.5)", 250, 46, 37, 12.984232902526855, 
"UCT MCTS Rnd Exp (sc:iters=1, ew=0.5)", 500, 414, 410, 150.34776759147644, 
"UCT MCTS Rnd Exp (sc:iters=1, ew=0.5)", 750, 750, 750, 282.0714418888092, 
"UCT MCTS Rnd Exp (sc:iters=1, ew=0.5)", 1000, 1000, 1000, 376.1470236778259, 
"UCT MCTS Rnd Exp (sc:iters=1, ew=0.5)", 1250, 1250, 1250, 470.35340571403503, 
"UCT MCTS Rnd Exp (sc:iters=1, ew=0.5)", 1500, 1500, 1500, 564.4999935626984, 
"UCT MCTS Rnd Exp (sc:iters=1, ew=0.5)", 1750, 1750, 1750, 658.3849515914917, 
"UCT MCTS Rnd Exp (sc:iters=1, ew=0.5)", 2000, 2000, 2000, 752.6298248767853, 
"UCT MCTS Rnd Exp (sc:iters=1, ew=0.5)", 2250, 2250, 2250, 846.6923866271973, 
"UCT MCTS Rnd Exp (sc:iters=1, ew=0.5)", 2500, 2500, 2500, 940.7236609458923, 
"Greedy MCTS (sc:iters=1)", 0, 0, 0, 0.00013065338134765625, 
"Greedy MCTS (sc:iters=1)", 250, 240, 238, 17.60537815093994, 
"Greedy MCTS (sc:iters=1)", 500, 500, 500, 35.75916147232056, 
"Greedy MCTS (sc:iters=1)", 750, 750, 750, 53.558998346328735, 
"Greedy MCTS (sc:iters=1)", 1000, 1000, 1000, 71.4543206691742, 
"Greedy MCTS (sc:iters=1)", 1250, 1250, 1250, 89.30397462844849, 
"Greedy MCTS (sc:iters=1)", 1500, 1500, 1500, 107.1263542175293, 
"Greedy MCTS (sc:iters=1)", 1750, 1750, 1750, 125.11437654495239, 
"Greedy MCTS (sc:iters=1)", 2000, 2000, 2000, 143.06559324264526, 
"Greedy MCTS (sc:iters=1)", 2250, 2250, 2250, 160.90941953659058, 
"Greedy MCTS (sc:iters=1)", 2500, 2500, 2500, 178.68135571479797, 
"Greedy MCTS Rnd Exp (sc:iters=1)", 0, 0, 0, 0.0001914501190185547, 
"Greedy MCTS Rnd Exp (sc:iters=1)", 250, 224, 221, 11.257029056549072, 
"Greedy MCTS Rnd Exp (sc:iters=1)", 500, 500, 500, 23.458152532577515, 
"Greedy MCTS Rnd Exp (sc:iters=1)", 750, 750, 750, 35.224395513534546, 
"Greedy MCTS Rnd Exp (sc:iters=1)", 1000, 1000, 1000, 46.9471549987793, 
"Greedy MCTS Rnd Exp (sc:iters=1)", 1250, 1250, 1250, 58.668267250061035, 
"Greedy MCTS Rnd Exp (sc:iters=1)", 1500, 1500, 1500, 70.39300155639648, 
"Greedy MCTS Rnd Exp (sc:iters=1)", 1750, 1750, 1750, 82.1204514503479, 
"Greedy MCTS Rnd Exp (sc:iters=1)", 2000, 2000, 2000, 93.9307963848114, 
"Greedy MCTS Rnd Exp (sc:iters=1)", 2250, 2250, 2250, 105.70246696472168, 
"Greedy MCTS Rnd Exp (sc:iters=1)", 2500, 2500, 2500, 117.37399315834045, 
"MonteCarlo basic (sc:iters=100)", 1750, 1733, 1733, 2342.453859567642, 
"MonteCarlo basic (sc:iters=100)", 2000, 1987, 1987, 2686.8156707286835, 
"MonteCarlo basic (sc:iters=100)", 2250, 2230, 2230, 3017.3584825992584, 
"UCT MCTS Rnd Exp (sc:iters=100, ew=0.5)", 0, 0, 0, 0.0001277923583984375, 
"UCT MCTS Rnd Exp (sc:iters=100, ew=0.5)", 250, 250, 250, 3007.6101808547974, 
"UCT MCTS Rnd Exp (sc:iters=100, ew=0.5)", 500, 500, 500, 6194.790673971176, 
"UCT MCTS Rnd Exp (sc:iters=100, ew=0.5)", 750, 750, 750, 9291.06746006012, 
