Run,#Features,#NodesExplored,#TotalIterationsExecuted,#TotalNodes,Algorithm,AlgorithmSteps,Configuration,ExecutionTime,Reward,StoppingCondition,ValidConfiguration
26,62,"0",124,"0","MonteCarlo basic (sc:iters=1)",62,"['DepMng', 'DeadFeatures', 'pyPicosat', 'Packages', 'Lingeling-pylgl', 'six', 'ValidConfiguration', 'wheel', 'lark-parser', 'MiniSAT-umo', 'Win', 'ebnf', 'PicoSAT-pycosat', 'CoreFeatures', 'ErrorDiagnosis', 'Glucose', 'Solvers', 'Lingeling-satispy', 'Operations', 'APISolvers', 'UVL', 'FeatureIDE', 'DecisionModel', 'AllProducts', 'AAFMFramework', 'pydepqbf', 'SPLOT', 'MiniSAT', 'Glucose-pyglucose', 'PicoSAT', 'pybind11', 'python-sat', 'pip', 'ParserTechnology', 'setuptools', 'pycosat', 'Interoperability', 'Metamodels', 'pipdeptree', 'pkg-resources', 'pylgl', 'satispy', 'satyrn', 'SimpleParse', 'PicoSAT-pyPicosat', 'System', 'pyglucose', 'pycryptosat', 'CNFModel', 'ValidProduct', 'Lingeling', 'ValidModel', 'MiniSAT-satispy', 'MiniSAT-python-sat', 'Glucose-python-sat', 'Lingeling-python-sat', 'ErrorDetection', 'Utils', 'umo', 'AutomatedReasoning', 'FeatureModel', 'antlr4-python3-runtime']",0.562821626663208,-1,1,False
27,54,"0",108,"0","MonteCarlo basic (sc:iters=1)",54,"['AAFMFramework', 'wheel', 'Packages', 'pyPicosat', 'Glucose-pyglucose', 'MiniSAT-satispy', 'Metamodels', 'FeatureIDE', 'Linux', 'APISolvers', 'satyrn', 'antlr4-python3-runtime', 'Interoperability', 'umo', 'ValidModel', 'python-sat', 'pkg-resources', 'Lingeling-python-sat', 'Lingeling-pylgl', 'pip', 'Solvers', 'pycryptosat', 'SimpleParse', 'DecisionModel', 'ebnf', 'Glucose', 'SPLOT', 'DepMng', 'System', 'satispy', 'pyglucose', 'ValidProduct', 'Operations', 'pipdeptree', 'lark-parser', 'CNFModel', 'pycosat', 'six', 'AutomatedReasoning', 'MiniSAT-umo', 'pylgl', 'MiniSAT', 'pybind11', 'DeadFeatures', 'Utils', 'FeatureModel', 'Lingeling', 'AllProducts', 'ParserTechnology', 'CoreFeatures', 'UVL', 'Lingeling-satispy', 'setuptools', 'Glucose-python-sat']",0.5517494678497314,18,1,True
28,9,"0",18,"0","MonteCarlo basic (sc:iters=1)",9,"['Win', 'setuptools', 'pkg-resources', 'pip', 'AAFMFramework', 'System', 'Packages', 'Metamodels', 'DepMng']",0.11695480346679688,-1,1,True
29,57,"0",114,"0","MonteCarlo basic (sc:iters=1)",57,"['DecisionModel', 'antlr4-python3-runtime', 'Lingeling-python-sat', 'pycosat', 'SPLOT', 'wheel', 'umo', 'System', 'MiniSAT-umo', 'UVL', 'CNFModel', 'Linux', 'Glucose-pyglucose', 'Lingeling-satispy', 'AutomatedReasoning', 'MiniSAT', 'MiniSAT-satispy', 'Lingeling', 'Lingeling-pylgl', 'SimpleParse', 'lark-parser', 'Glucose', 'FeatureModel', 'Solvers', 'DepMng', 'pkg-resources', 'ebnf', 'setuptools', 'Metamodels', 'pip', 'Interoperability', 'pipdeptree', 'python-sat', 'ValidConfiguration', 'satyrn', 'six', 'pylgl', 'Utils', 'FeatureIDE', 'ValidProduct', 'pybind11', 'MiniSAT-python-sat', 'ErrorDetection', 'satispy', 'AAFMFramework', 'PicoSAT', 'pydepqbf', 'PicoSAT-pycosat', 'Operations', 'pyglucose', 'ValidModel', 'CoreFeatures', 'Packages', 'APISolvers', 'ParserTechnology', 'pyPicosat', 'pycryptosat']",0.5093369483947754,12,1,True
30,62,"0",124,"0","MonteCarlo basic (sc:iters=1)",62,"['ParserTechnology', 'Solvers', 'python-sat', 'wheel', 'Packages', 'DepMng', 'PicoSAT', 'pybind11', 'PicoSAT-pycosat', 'Win', 'Operations', 'ValidProduct', 'AAFMFramework', 'pyPicosat', 'MiniSAT-umo', 'pydepqbf', 'AllProducts', 'pyglucose', 'Lingeling-satispy', 'CoreFeatures', 'Metamodels', 'antlr4-python3-runtime', 'DecisionModel', 'MiniSAT-python-sat', 'pylgl', 'Lingeling-python-sat', 'ValidModel', 'Lingeling-pylgl', 'SimpleParse', 'System', 'umo', 'pkg-resources', 'CNFModel', 'Interoperability', 'setuptools', 'pipdeptree', 'APISolvers', 'PicoSAT-pyPicosat', 'pip', 'MiniSAT-satispy', 'six', 'Glucose', 'lark-parser', 'MiniSAT', 'Glucose-python-sat', 'AutomatedReasoning', 'ErrorDetection', 'satyrn', 'pycryptosat', 'ErrorDiagnosis', 'SPLOT', 'Glucose-pyglucose', 'Utils', 'pycosat', 'FeatureIDE', 'satispy', 'DeadFeatures', 'Lingeling', 'UVL', 'ValidConfiguration', 'FeatureModel', 'ebnf']",0.5567893981933594,-1,1,False
1,33,"0",3333,"0","MonteCarlo basic (sc:iters=100)",33,"['pyglucose', 'python-sat', 'satyrn', 'lark-parser', 'pydepqbf', 'Utils', 'FeatureIDE', 'pip', 'pybind11', 'six', 'DepMng', 'System', 'UVL', 'AAFMFramework', 'Interoperability', 'pycryptosat', 'Packages', 'setuptools', 'pycosat', 'wheel', 'Linux', 'pipdeptree', 'ebnf', 'SimpleParse', 'umo', 'ParserTechnology', 'Metamodels', 'pyPicosat', 'pkg-resources', 'satispy', 'pylgl', 'antlr4-python3-runtime', 'APISolvers']",17.014530181884766,60,100,True
2,19,"0",1919,"0","MonteCarlo basic (sc:iters=100)",19,"['Metamodels', 'Linux', 'APISolvers', 'pip', 'pyPicosat', 'DepMng', 'System', 'umo', 'pybind11', 'pyglucose', 'AAFMFramework', 'pycosat', 'wheel', 'Packages', 'pycryptosat', 'setuptools', 'satyrn', 'Utils', 'pkg-resources']",11.033948421478271,44,100,True
3,52,"0",5252,"0","MonteCarlo basic (sc:iters=100)",52,"['pip', 'DecisionModel', 'Metamodels', 'UVL', 'Packages', 'python-sat', 'setuptools', 'ValidConfiguration', 'DeadFeatures', 'CoreFeatures', 'Lingeling', 'Lingeling-python-sat', 'six', 'Operations', 'antlr4-python3-runtime', 'pydepqbf', 'PicoSAT-pycosat', 'Linux', 'DepMng', 'CNFModel', 'Glucose-python-sat', 'PicoSAT', 'umo', 'ebnf', 'pyPicosat', 'MiniSAT-python-sat', 'pycryptosat', 'lark-parser', 'Interoperability', 'AAFMFramework', 'wheel', 'pybind11', 'pyglucose', 'Glucose', 'FeatureModel', 'PicoSAT-pyPicosat', 'satyrn', 'MiniSAT', 'ErrorDiagnosis', 'satispy', 'SimpleParse', 'Utils', 'AutomatedReasoning', 'FeatureIDE', 'ErrorDetection', 'ParserTechnology', 'System', 'pkg-resources', 'APISolvers', 'Solvers', 'AllProducts', 'pycosat']",25.890472173690796,22,100,True
4,32,"0",3232,"0","MonteCarlo basic (sc:iters=100)",32,"['pkg-resources', 'Utils', 'Interoperability', 'Packages', 'wheel', 'ParserTechnology', 'UVL', 'Metamodels', 'umo', 'lark-parser', 'DecisionModel', 'python-sat', 'Linux', 'ebnf', 'satispy', 'pylgl', 'pip', 'APISolvers', 'setuptools', 'AAFMFramework', 'pycryptosat', 'DepMng', 'SPLOT', 'satyrn', 'pybind11', 'pydepqbf', 'pyPicosat', 'pyglucose', 'antlr4-python3-runtime', 'System', 'FeatureIDE', 'six']",19.81706404685974,62,100,True
5,32,"0",3232,"0","MonteCarlo basic (sc:iters=100)",32,"['SPLOT', 'pkg-resources', 'wheel', 'Linux', 'FeatureIDE', 'satyrn', 'System', 'pybind11', 'Packages', 'Metamodels', 'CNFModel', 'UVL', 'DepMng', 'AAFMFramework', 'antlr4-python3-runtime', 'pycryptosat', 'Utils', 'pydepqbf', 'pylgl', 'SimpleParse', 'pyPicosat', 'lark-parser', 'ParserTechnology', 'Interoperability', 'umo', 'APISolvers', 'pyglucose', 'FeatureModel', 'pycosat', 'ebnf', 'pip', 'setuptools']",17.970155000686646,62,100,True
6,31,"0",3131,"0","MonteCarlo basic (sc:iters=100)",31,"['CNFModel', 'FeatureModel', 'six', 'System', 'Linux', 'DepMng', 'pydepqbf', 'pyglucose', 'umo', 'DecisionModel', 'python-sat', 'Metamodels', 'satyrn', 'pkg-resources', 'AAFMFramework', 'ParserTechnology', 'pyPicosat', 'pylgl', 'pybind11', 'APISolvers', 'antlr4-python3-runtime', 'lark-parser', 'Utils', 'pycosat', 'SimpleParse', 'pycryptosat', 'pip', 'Packages', 'satispy', 'setuptools', 'ebnf']",16.845568656921387,64,100,True
7,31,"0",3131,"0","MonteCarlo basic (sc:iters=100)",31,"['six', 'umo', 'wheel', 'pkg-resources', 'CNFModel', 'ebnf', 'UVL', 'pybind11', 'pip', 'Metamodels', 'DepMng', 'System', 'pydepqbf', 'FeatureIDE', 'antlr4-python3-runtime', 'Linux', 'pylgl', 'setuptools', 'DecisionModel', 'FeatureModel', 'Utils', 'pyPicosat', 'Packages', 'AAFMFramework', 'Interoperability', 'ParserTechnology', 'pycryptosat', 'python-sat', 'lark-parser', 'APISolvers', 'satyrn']",18.34312415122986,64,100,True
8,24,"0",2424,"0","MonteCarlo basic (sc:iters=100)",24,"['antlr4-python3-runtime', 'AAFMFramework', 'Metamodels', 'Utils', 'ebnf', 'CNFModel', 'SPLOT', 'SimpleParse', 'pkg-resources', 'ParserTechnology', 'Packages', 'UVL', 'six', 'DepMng', 'Linux', 'pip', 'FeatureIDE', 'setuptools', 'pybind11', 'lark-parser', 'FeatureModel', 'DecisionModel', 'Interoperability', 'System']",15.850648403167725,39,100,True
9,33,"0",3333,"0","MonteCarlo basic (sc:iters=100)",33,"['System', 'Utils', 'DepMng', 'pybind11', 'SimpleParse', 'antlr4-python3-runtime', 'ebnf', 'AutomatedReasoning', 'pylgl', 'APISolvers', 'Solvers', 'MiniSAT', 'pyglucose', 'pycosat', 'Packages', 'pyPicosat', 'wheel', 'FeatureModel', 'satispy', 'pip', 'DecisionModel', 'ParserTechnology', 'pydepqbf', 'pkg-resources', 'CNFModel', 'Linux', 'pycryptosat', 'AAFMFramework', 'setuptools', 'MiniSAT-satispy', 'lark-parser', 'umo', 'Metamodels']",19.87583327293396,60,100,True
10,50,"0",5050,"0","MonteCarlo basic (sc:iters=100)",50,"['umo', 'FeatureIDE', 'pipdeptree', 'pylgl', 'DecisionModel', 'SimpleParse', 'antlr4-python3-runtime', 'AutomatedReasoning', 'CoreFeatures', 'DeadFeatures', 'System', 'Lingeling-satispy', 'Metamodels', 'Linux', 'Interoperability', 'pip', 'Solvers', 'wheel', 'AAFMFramework', 'ebnf', 'pydepqbf', 'setuptools', 'pycosat', 'ValidConfiguration', 'AllProducts', 'Utils', 'satispy', 'ValidModel', 'python-sat', 'ParserTechnology', 'pybind11', 'FeatureModel', 'Operations', 'lark-parser', 'satyrn', 'pkg-resources', 'APISolvers', 'Lingeling', 'ErrorDiagnosis', 'CNFModel', 'pycryptosat', 'ErrorDetection', 'pyPicosat', 'ValidProduct', 'pyglucose', 'SPLOT', 'Packages', 'DepMng', 'six', 'UVL']",24.38451051712036,26,100,True
11,30,"0",3030,"0","MonteCarlo basic (sc:iters=100)",30,"['Linux', 'pycryptosat', 'pyglucose', 'DepMng', 'setuptools', 'FeatureIDE', 'SPLOT', 'DecisionModel', 'FeatureModel', 'six', 'pip', 'pycosat', 'System', 'Metamodels', 'antlr4-python3-runtime', 'lark-parser', 'ebnf', 'pyPicosat', 'ParserTechnology', 'AAFMFramework', 'Utils', 'Packages', 'UVL', 'umo', 'Interoperability', 'APISolvers', 'pybind11', 'SimpleParse', 'pkg-resources', 'python-sat']",17.398186206817627,66,100,True
12,30,"0",3030,"0","MonteCarlo basic (sc:iters=100)",30,"['pybind11', 'pyglucose', 'pkg-resources', 'APISolvers', 'Metamodels', 'umo', 'pycosat', 'setuptools', 'DepMng', 'Packages', 'Utils', 'AAFMFramework', 'lark-parser', 'pip', 'antlr4-python3-runtime', 'pycryptosat', 'satispy', 'FeatureModel', 'python-sat', 'DecisionModel', 'Linux', 'SimpleParse', 'pylgl', 'pydepqbf', 'ParserTechnology', 'System', 'pyPicosat', 'satyrn', 'six', 'ebnf']",18.281226873397827,66,100,True
13,51,"0",5151,"0","MonteCarlo basic (sc:iters=100)",51,"['Utils', 'pybind11', 'AutomatedReasoning', 'python-sat', 'ErrorDiagnosis', 'DecisionModel', 'MiniSAT-satispy', 'MiniSAT', 'Operations', 'Interoperability', 'AAFMFramework', 'pycryptosat', 'wheel', 'Packages', 'pyPicosat', 'pycosat', 'Metamodels', 'Solvers', 'DepMng', 'setuptools', 'ErrorDetection', 'pyglucose', 'ValidProduct', 'Glucose-python-sat', 'pip', 'pipdeptree', 'SPLOT', 'satyrn', 'ParserTechnology', 'pylgl', 'lark-parser', 'antlr4-python3-runtime', 'six', 'ValidModel', 'satispy', 'umo', 'Linux', 'AllProducts', 'CNFModel', 'pkg-resources', 'SimpleParse', 'FeatureIDE', 'System', 'pydepqbf', 'ebnf', 'DeadFeatures', 'ValidConfiguration', 'APISolvers', 'CoreFeatures', 'Glucose', 'UVL']",23.979840755462646,24,100,True
14,48,"0",4848,"0","MonteCarlo basic (sc:iters=100)",48,"['Lingeling-satispy', 'SimpleParse', 'DepMng', 'Glucose-pyglucose', 'pycosat', 'pkg-resources', 'System', 'lark-parser', 'Lingeling-pylgl', 'pycryptosat', 'APISolvers', 'SPLOT', 'Solvers', 'AutomatedReasoning', 'satispy', 'pydepqbf', 'Glucose', 'umo', 'pyglucose', 'PicoSAT-pycosat', 'pyPicosat', 'six', 'Linux', 'Glucose-python-sat', 'ebnf', 'pylgl', 'DecisionModel', 'FeatureIDE', 'UVL', 'CNFModel', 'Utils', 'Lingeling', 'ParserTechnology', 'PicoSAT', 'pip', 'Metamodels', 'MiniSAT-satispy', 'python-sat', 'MiniSAT', 'AAFMFramework', 'satyrn', 'antlr4-python3-runtime', 'Interoperability', 'MiniSAT-python-sat', 'setuptools', 'Packages', 'MiniSAT-umo', 'pybind11']",23.70499324798584,30,100,True
15,35,"0",3535,"0","MonteCarlo basic (sc:iters=100)",35,"['System', 'Interoperability', 'UVL', 'pip', 'setuptools', 'python-sat', 'antlr4-python3-runtime', 'ParserTechnology', 'pydepqbf', 'Metamodels', 'FeatureIDE', 'Utils', 'SPLOT', 'Linux', 'pkg-resources', 'pycosat', 'APISolvers', 'wheel', 'six', 'pylgl', 'pyPicosat', 'Packages', 'ebnf', 'lark-parser', 'FeatureModel', 'pybind11', 'satispy', 'DecisionModel', 'AAFMFramework', 'DepMng', 'SimpleParse', 'umo', 'satyrn', 'pyglucose', 'pycryptosat']",18.63702392578125,56,100,True
16,32,"0",3232,"0","MonteCarlo basic (sc:iters=100)",32,"['Metamodels', 'Interoperability', 'setuptools', 'DecisionModel', 'six', 'UVL', 'pkg-resources', 'System', 'FeatureIDE', 'pip', 'Utils', 'FeatureModel', 'satyrn', 'Packages', 'umo', 'APISolvers', 'Linux', 'pybind11', 'pycryptosat', 'pylgl', 'SimpleParse', 'ParserTechnology', 'pycosat', 'AAFMFramework', 'satispy', 'SPLOT', 'pyglucose', 'lark-parser', 'python-sat', 'DepMng', 'pyPicosat', 'ebnf']",19.606201648712158,62,100,True
17,30,"0",3030,"0","MonteCarlo basic (sc:iters=100)",30,"['pkg-resources', 'lark-parser', 'python-sat', 'antlr4-python3-runtime', 'AAFMFramework', 'Utils', 'Metamodels', 'pycosat', 'six', 'pylgl', 'System', 'satispy', 'ebnf', 'Packages', 'SimpleParse', 'umo', 'APISolvers', 'CNFModel', 'pycryptosat', 'satyrn', 'setuptools', 'pydepqbf', 'FeatureModel', 'pip', 'DepMng', 'pybind11', 'pyglucose', 'Linux', 'ParserTechnology', 'pyPicosat']",17.093120098114014,66,100,True
18,33,"0",3333,"0","MonteCarlo basic (sc:iters=100)",33,"['six', 'DecisionModel', 'lark-parser', 'satyrn', 'FeatureIDE', 'satispy', 'pycosat', 'AAFMFramework', 'Linux', 'pyPicosat', 'ParserTechnology', 'SimpleParse', 'pybind11', 'System', 'pyglucose', 'Interoperability', 'Metamodels', 'pydepqbf', 'pycryptosat', 'SPLOT', 'pkg-resources', 'Packages', 'DepMng', 'umo', 'wheel', 'pip', 'pylgl', 'setuptools', 'ebnf', 'Utils', 'APISolvers', 'CNFModel', 'FeatureModel']",19.803422927856445,60,100,True
19,32,"0",3232,"0","MonteCarlo basic (sc:iters=100)",32,"['Metamodels', 'Packages', 'antlr4-python3-runtime', 'satispy', 'pycryptosat', 'satyrn', 'ParserTechnology', 'DepMng', 'Linux', 'AAFMFramework', 'python-sat', 'DecisionModel', 'pyglucose', 'Utils', 'SimpleParse', 'umo', 'System', 'pip', 'pyPicosat', 'FeatureIDE', 'ebnf', 'setuptools', 'CNFModel', 'pybind11', 'pkg-resources', 'Interoperability', 'UVL', 'pycosat', 'lark-parser', 'six', 'APISolvers', 'pydepqbf']",19.156305074691772,62,100,True
20,51,"0",5151,"0","MonteCarlo basic (sc:iters=100)",51,"['MiniSAT-python-sat', 'Lingeling-python-sat', 'Glucose-python-sat', 'pylgl', 'Solvers', 'python-sat', 'ValidModel', 'pyPicosat', 'FeatureModel', 'umo', 'CNFModel', 'MiniSAT-umo', 'pycryptosat', 'wheel', 'pybind11', 'Lingeling-pylgl', 'Linux', 'MiniSAT', 'ParserTechnology', 'CoreFeatures', 'DeadFeatures', 'satispy', 'pip', 'AutomatedReasoning', 'System', 'DepMng', 'PicoSAT-pycosat', 'pkg-resources', 'SimpleParse', 'Packages', 'DecisionModel', 'PicoSAT', 'Glucose', 'ErrorDiagnosis', 'lark-parser', 'Lingeling-satispy', 'pycosat', 'Operations', 'six', 'AAFMFramework', 'Lingeling', 'Glucose-pyglucose', 'pyglucose', 'APISolvers', 'setuptools', 'ValidConfiguration', 'Metamodels', 'pipdeptree', 'Utils', 'antlr4-python3-runtime', 'ErrorDetection']",26.791094541549683,12,100,True
21,34,"0",3434,"0","MonteCarlo basic (sc:iters=100)",34,"['pkg-resources', 'System', 'six', 'lark-parser', 'wheel', 'pycryptosat', 'AAFMFramework', 'APISolvers', 'satyrn', 'pyPicosat', 'Metamodels', 'setuptools', 'CNFModel', 'Interoperability', 'ParserTechnology', 'pyglucose', 'Linux', 'DepMng', 'Packages', 'umo', 'pipdeptree', 'pybind11', 'python-sat', 'pycosat', 'pip', 'ebnf', 'UVL', 'SimpleParse', 'pydepqbf', 'FeatureModel', 'pylgl', 'Utils', 'satispy', 'SPLOT']",18.042386770248413,58,100,True
22,38,"0",3838,"0","MonteCarlo basic (sc:iters=100)",38,"['lark-parser', 'Interoperability', 'Metamodels', 'python-sat', 'pipdeptree', 'CNFModel', 'pip', 'antlr4-python3-runtime', 'pylgl', 'setuptools', 'pydepqbf', 'ParserTechnology', 'pyglucose', 'pyPicosat', 'satyrn', 'APISolvers', 'AutomatedReasoning', 'Packages', 'Utils', 'satispy', 'AAFMFramework', 'pkg-resources', 'Solvers', 'umo', 'DecisionModel', 'Linux', 'pycosat', 'DepMng', 'pybind11', 'FeatureModel', 'FeatureIDE', 'wheel', 'System', 'Lingeling-python-sat', 'Lingeling', 'UVL', 'six', 'ebnf']",21.08539056777954,50,100,True
23,47,"0",4747,"0","MonteCarlo basic (sc:iters=100)",47,"['AAFMFramework', 'Packages', 'ebnf', 'pyglucose', 'satispy', 'pycryptosat', 'ErrorDiagnosis', 'Linux', 'pylgl', 'AutomatedReasoning', 'ParserTechnology', 'Lingeling', 'pip', 'CNFModel', 'APISolvers', 'ValidProduct', 'Glucose', 'Glucose-pyglucose', 'FeatureIDE', 'antlr4-python3-runtime', 'satyrn', 'six', 'Utils', 'Lingeling-python-sat', 'pydepqbf', 'SPLOT', 'pyPicosat', 'lark-parser', 'MiniSAT-satispy', 'Interoperability', 'umo', 'DeadFeatures', 'Solvers', 'pycosat', 'Operations', 'ValidModel', 'ValidConfiguration', 'python-sat', 'pybind11', 'MiniSAT', 'DepMng', 'FeatureModel', 'setuptools', 'System', 'pkg-resources', 'Metamodels', 'DecisionModel']",24.684056520462036,32,100,True
24,26,"0",2626,"0","MonteCarlo basic (sc:iters=100)",26,"['Linux', 'AAFMFramework', 'Metamodels', 'umo', 'APISolvers', 'six', 'SimpleParse', 'pydepqbf', 'pyPicosat', 'pkg-resources', 'ebnf', 'Utils', 'pybind11', 'python-sat', 'pip', 'Packages', 'pylgl', 'setuptools', 'wheel', 'satispy', 'lark-parser', 'pyglucose', 'System', 'DepMng', 'ParserTechnology', 'antlr4-python3-runtime']",14.902241230010986,74,100,True
25,45,"0",4545,"0","MonteCarlo basic (sc:iters=100)",45,"['Interoperability', 'setuptools', 'ErrorDiagnosis', 'Linux', 'pycosat', 'pybind11', 'Packages', 'satyrn', 'MiniSAT', 'SPLOT', 'CoreFeatures', 'MiniSAT-umo', 'ValidModel', 'python-sat', 'wheel', 'CNFModel', 'System', 'six', 'umo', 'FeatureModel', 'Metamodels', 'FeatureIDE', 'AutomatedReasoning', 'SimpleParse', 'Utils', 'antlr4-python3-runtime', 'DeadFeatures', 'UVL', 'pip', 'pyglucose', 'Operations', 'Solvers', 'DepMng', 'DecisionModel', 'pyPicosat', 'pkg-resources', 'ValidProduct', 'AAFMFramework', 'pydepqbf', 'lark-parser', 'APISolvers', 'pylgl', 'pycryptosat', 'ParserTechnology', 'ValidConfiguration']",23.369549036026,18,100,True
26,30,"0",3030,"0","MonteCarlo basic (sc:iters=100)",30,"['pyglucose', 'pybind11', 'ParserTechnology', 'pylgl', 'setuptools', 'Packages', 'pycryptosat', 'lark-parser', 'Metamodels', 'pycosat', 'SimpleParse', 'System', 'Utils', 'wheel', 'satispy', 'SPLOT', 'Interoperability', 'APISolvers', 'FeatureIDE', 'Linux', 'pkg-resources', 'pydepqbf', 'AAFMFramework', 'antlr4-python3-runtime', 'umo', 'UVL', 'pip', 'DepMng', 'pyPicosat', 'satyrn']",17.259350299835205,33,100,True
27,30,"0",3030,"0","MonteCarlo basic (sc:iters=100)",30,"['satyrn', 'wheel', 'umo', 'setuptools', 'AAFMFramework', 'pycosat', 'antlr4-python3-runtime', 'lark-parser', 'Linux', 'six', 'pyglucose', 'ParserTechnology', 'Packages', 'FeatureModel', 'python-sat', 'Utils', 'pyPicosat', 'pybind11', 'APISolvers', 'pycryptosat', 'Metamodels', 'System', 'pip', 'pydepqbf', 'DepMng', 'pylgl', 'satispy', 'ebnf', 'pkg-resources', 'CNFModel']",17.38764214515686,66,100,True
28,28,"0",2828,"0","MonteCarlo basic (sc:iters=100)",28,"['pydepqbf', 'ParserTechnology', 'satyrn', 'Utils', 'SimpleParse', 'pybind11', 'AAFMFramework', 'pip', 'DecisionModel', 'lark-parser', 'pkg-resources', 'ebnf', 'pycryptosat', 'six', 'FeatureModel', 'pyglucose', 'setuptools', 'pylgl', 'pycosat', 'System', 'APISolvers', 'Linux', 'pyPicosat', 'DepMng', 'Packages', 'Metamodels', 'umo', 'CNFModel']",15.522192239761353,70,100,True
29,20,"0",2020,"0","MonteCarlo basic (sc:iters=100)",20,"['ParserTechnology', 'System', 'DecisionModel', 'UVL', 'setuptools', 'Linux', 'pip', 'CNFModel', 'ebnf', 'lark-parser', 'SimpleParse', 'Interoperability', 'six', 'DepMng', 'Packages', 'Utils', 'pkg-resources', 'wheel', 'AAFMFramework', 'Metamodels']",12.753233194351196,43,100,True
30,28,"0",2828,"0","MonteCarlo basic (sc:iters=100)",28,"['pybind11', 'pydepqbf', 'AAFMFramework', 'wheel', 'pylgl', 'python-sat', 'APISolvers', 'pipdeptree', 'pycosat', 'pip', 'DepMng', 'six', 'pycryptosat', 'DecisionModel', 'Metamodels', 'Utils', 'setuptools', 'SimpleParse', 'System', 'pyPicosat', 'pkg-resources', 'lark-parser', 'ParserTechnology', 'Linux', 'Packages', 'FeatureModel', 'CNFModel', 'ebnf']",15.774490356445312,70,100,True
1,24,2424,2424,29422,"UCT MCTS (sc:iters=100, ew=0.5)",24,"['ParserTechnology', 'wheel', 'System', 'pydepqbf', 'ebnf', 'Interoperability', 'Metamodels', 'FeatureModel', 'umo', 'CNFModel', 'SimpleParse', 'DepMng', 'Linux', 'APISolvers', 'setuptools', 'pkg-resources', 'AAFMFramework', 'Packages', 'lark-parser', 'pyPicosat', 'UVL', 'DecisionModel', 'pip', 'pylgl']",15.583666324615479,78,100,True
2,21,2121,2121,30362,"UCT MCTS (sc:iters=100, ew=0.5)",21,"['pycosat', 'System', 'AAFMFramework', 'pip', 'DepMng', 'CNFModel', 'lark-parser', 'Packages', 'wheel', 'Utils', 'Metamodels', 'DecisionModel', 'SimpleParse', 'six', 'setuptools', 'APISolvers', 'ebnf', 'pyPicosat', 'Linux', 'ParserTechnology', 'pkg-resources']",13.715363502502441,84,100,True
3,17,1717,1717,27974,"UCT MCTS (sc:iters=100, ew=0.5)",17,"['lark-parser', 'AAFMFramework', 'Utils', 'pyPicosat', 'FeatureIDE', 'setuptools', 'Linux', 'pkg-resources', 'DepMng', 'Metamodels', 'System', 'APISolvers', 'six', 'Interoperability', 'ParserTechnology', 'Packages', 'pip']",9.028429508209229,46,100,True
4,23,2323,2323,30927,"UCT MCTS (sc:iters=100, ew=0.5)",23,"['pybind11', 'Metamodels', 'lark-parser', 'SPLOT', 'pip', 'pycosat', 'antlr4-python3-runtime', 'DepMng', 'setuptools', 'Interoperability', 'SimpleParse', 'System', 'pkg-resources', 'UVL', 'Linux', 'Utils', 'pyPicosat', 'APISolvers', 'AAFMFramework', 'ParserTechnology', 'umo', 'Packages', 'satyrn']",14.751716375350952,40,100,True
5,27,2727,2727,30355,"UCT MCTS (sc:iters=100, ew=0.5)",27,"['pip', 'CNFModel', 'AAFMFramework', 'Packages', 'pkg-resources', 'satispy', 'pyPicosat', 'Interoperability', 'DecisionModel', 'antlr4-python3-runtime', 'pybind11', 'pydepqbf', 'System', 'lark-parser', 'setuptools', 'Linux', 'pylgl', 'UVL', 'DepMng', 'ParserTechnology', 'ebnf', 'APISolvers', 'SimpleParse', 'python-sat', 'six', 'Utils', 'Metamodels']",17.295987367630005,72,100,True
6,15,1515,1515,26285,"UCT MCTS (sc:iters=100, ew=0.5)",15,"['System', 'AAFMFramework', 'setuptools', 'Linux', 'six', 'DepMng', 'pyPicosat', 'ParserTechnology', 'lark-parser', 'pkg-resources', 'Utils', 'pip', 'Packages', 'APISolvers', 'Metamodels']",8.442813634872437,48,100,True
7,22,2222,2222,30895,"UCT MCTS (sc:iters=100, ew=0.5)",22,"['ebnf', 'Packages', 'satyrn', 'pyPicosat', 'DepMng', 'System', 'DecisionModel', 'setuptools', 'lark-parser', 'Metamodels', 'FeatureModel', 'python-sat', 'pybind11', 'AAFMFramework', 'six', 'pylgl', 'Utils', 'APISolvers', 'pip', 'Linux', 'ParserTechnology', 'pkg-resources']",14.354444026947021,82,100,True
8,24,2424,2424,29686,"UCT MCTS (sc:iters=100, ew=0.5)",24,"['python-sat', 'ParserTechnology', 'pycryptosat', 'satispy', 'pybind11', 'Linux', 'Packages', 'pip', 'ebnf', 'Metamodels', 'pyglucose', 'APISolvers', 'Utils', 'pydepqbf', 'six', 'DepMng', 'AAFMFramework', 'antlr4-python3-runtime', 'lark-parser', 'pyPicosat', 'setuptools', 'satyrn', 'pkg-resources', 'System']",15.789389610290527,78,100,True
