Method, Sample size, Current Sample, Valid configs, Defective configs, Visit configs, Evaluated configs, Time (s)
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 116, 115, 115, 27599, 2478, 0.802851676940918, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 117, 116, 116, 27808, 2484, 1.4492483139038086, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 118, 117, 117, 27995, 2493, 1.2547307014465332, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 119, 118, 118, 28281, 2503, 2.020738363265991, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 120, 119, 119, 28490, 2513, 1.555938482284546, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 121, 120, 120, 28776, 2556, 2.4131407737731934, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 122, 121, 121, 28974, 2563, 1.3174703121185303, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 123, 122, 122, 29271, 2577, 1.684117317199707, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 124, 123, 123, 29568, 2592, 1.6801824569702148, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 125, 124, 124, 29777, 2597, 1.6838428974151611, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 126, 125, 125, 29964, 2607, 1.4950294494628906, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 127, 126, 126, 30173, 2619, 1.6032729148864746, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 128, 127, 127, 30360, 2637, 1.6938190460205078, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 129, 128, 128, 30547, 2642, 1.1140515804290771, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 130, 129, 129, 30822, 2672, 2.2311313152313232, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 131, 130, 130, 31020, 2680, 1.4168720245361328, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 132, 131, 131, 31295, 2703, 1.8626868724822998, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 133, 132, 132, 31592, 2708, 1.9188776016235352, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 134, 133, 133, 31779, 2716, 1.4108622074127197, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 135, 134, 134, 31977, 2728, 1.4546537399291992, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 136, 135, 135, 32252, 2746, 2.0728466510772705, 
"UCT MCTS (sc:iters=10, ew=0.5)", 2340, 137, 136, 136, 32549, 2763, 2.1887664794921875, 
