Method, Sample size, Valid configs, Defective configs, Visit configs, Evaluated configs, Time (s)
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1416, 647, 9252, 1416, 0.24837207794189453, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1417, 648, 9290, 1417, 0.30289220809936523, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1418, 649, 9330, 1418, 0.3092029094696045, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1421, 651, 9370, 1421, 0.25332045555114746, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1427, 652, 9408, 1427, 0.2792844772338867, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1430, 653, 9448, 1430, 0.3031618595123291, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1433, 655, 9500, 1433, 0.3451046943664551, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1433, 655, 9538, 1433, 0.2608513832092285, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1434, 655, 9578, 1434, 0.29720139503479004, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1437, 656, 9618, 1437, 0.35804152488708496, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1438, 656, 9658, 1438, 0.25830960273742676, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1440, 656, 9714, 1440, 0.44886207580566406, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1444, 658, 9768, 1444, 0.3800532817840576, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1449, 660, 9820, 1449, 0.4118978977203369, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1452, 662, 9858, 1452, 0.2423872947692871, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1455, 663, 9896, 1455, 0.27930736541748047, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1467, 668, 9952, 1467, 0.4798743724822998, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1468, 668, 10008, 1468, 0.3650236129760742, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1469, 669, 10048, 1469, 0.29717540740966797, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1470, 669, 10088, 1470, 0.3082737922668457, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1472, 670, 10144, 1472, 0.34413743019104004, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1472, 670, 10184, 1472, 0.2982022762298584, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1473, 671, 10236, 1473, 0.3480973243713379, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1477, 673, 10274, 1477, 0.2254319190979004, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1479, 674, 10312, 1479, 0.2630269527435303, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1484, 675, 10358, 1484, 0.3626444339752197, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1484, 675, 10398, 1484, 0.26435184478759766, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1485, 675, 10438, 1485, 0.26637768745422363, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1488, 677, 10478, 1488, 0.295210599899292, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1489, 678, 10528, 1489, 0.32416367530822754, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1492, 680, 10566, 1492, 0.26429295539855957, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1496, 681, 10620, 1496, 0.44084978103637695, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1497, 681, 10660, 1497, 0.31280088424682617, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1500, 682, 10714, 1500, 0.34108877182006836, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1501, 683, 10766, 1501, 0.3281230926513672, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1508, 686, 10820, 1508, 0.4397897720336914, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1510, 687, 10858, 1510, 0.3151581287384033, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1512, 688, 10898, 1512, 0.29720449447631836, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1526, 692, 10954, 1526, 0.4748189449310303, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1530, 695, 10994, 1530, 0.2383887767791748, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1533, 696, 11044, 1533, 0.3560481071472168, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1543, 699, 11098, 1543, 0.4910163879394531, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1544, 699, 11136, 1544, 0.24634218215942383, 
"UCT MCTS (sc:iters=1, ew=0.5)", 2340, 1548, 700, 11176, 1548, 0.31571054458618164, 
