Run, Algorithm, StoppingCondition, Exploration Weight, ExecutionTime, Features, Valid Config, Reward, Nodes, Simulations, Configuration
20, "UCT Algorithm", 1, 0.5, 0.24434638023376465, 42, True, 11, 84, 42, "['lark-parser', 'DecisionModel', 'Win', 'MiniSAT', 'ParserTechnology', 'ValidConfiguration', 'pydepqbf', 'pyglucose', 'FeatureIDE', 'UVL', 'SPLOT', 'setuptools', 'System', 'pycosat', 'SimpleParse', 'antlr4-python3-runtime', 'Glucose', 'python-sat', 'Solvers', 'Operations', 'AutomatedReasoning', 'pybind11', 'ValidProduct', 'DepMng', 'FeatureModel', 'six', 'AllProducts', 'CNFModel', 'PicoSAT', 'pip', 'Utils', 'Lingeling', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'ErrorDetection', 'ebnf', 'pylgl', 'AAFMFramework', 'pkg-resources']"
21, "UCT Algorithm", 1, 0.5, 0.24537277221679688, 42, True, 11, 84, 42, "['lark-parser', 'wheel', 'DecisionModel', 'Win', 'MiniSAT', 'ParserTechnology', 'ValidConfiguration', 'ErrorDiagnosis', 'FeatureIDE', 'pydepqbf', 'ValidModel', 'UVL', 'SPLOT', 'setuptools', 'System', 'pycosat', 'SimpleParse', 'Glucose', 'python-sat', 'antlr4-python3-runtime', 'Solvers', 'Operations', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'ValidProduct', 'FeatureModel', 'AllProducts', 'DepMng', 'six', 'PicoSAT', 'pip', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'satyrn', 'ErrorDetection', 'AAFMFramework']"
22, "UCT Algorithm", 1, 0.5, 0.27725863456726074, 47, True, 6, 94, 47, "['lark-parser', 'wheel', 'MiniSAT', 'DecisionModel', 'ParserTechnology', 'ValidConfiguration', 'pycryptosat', 'ErrorDiagnosis', 'CoreFeatures', 'FeatureIDE', 'pyglucose', 'pydepqbf', 'ValidModel', 'setuptools', 'UVL', 'SPLOT', 'System', 'pycosat', 'SimpleParse', 'antlr4-python3-runtime', 'Glucose', 'Solvers', 'Operations', 'Linux', 'umo', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'six', 'AllProducts', 'ValidProduct', 'FeatureModel', 'PicoSAT', 'pip', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'satyrn', 'ErrorDetection', 'AAFMFramework', 'pkg-resources']"
23, "UCT Algorithm", 1, 0.5, 0.19550275802612305, 46, True, 7, 92, 46, "['lark-parser', 'wheel', 'DecisionModel', 'ParserTechnology', 'pycryptosat', 'CoreFeatures', 'ErrorDiagnosis', 'pydepqbf', 'pipdeptree', 'FeatureIDE', 'pyglucose', 'ValidModel', 'UVL', 'SPLOT', 'setuptools', 'System', 'pycosat', 'SimpleParse', 'python-sat', 'antlr4-python3-runtime', 'Solvers', 'Operations', 'Linux', 'umo', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'FeatureModel', 'six', 'ValidProduct', 'AllProducts', 'pip', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'pyPicosat', 'satyrn', 'pylgl', 'ebnf', 'AAFMFramework', 'pkg-resources']"
24, "UCT Algorithm", 1, 0.5, 0.23739314079284668, 49, True, 4, 98, 49, "['lark-parser', 'wheel', 'DecisionModel', 'MiniSAT', 'ParserTechnology', 'ValidConfiguration', 'pycryptosat', 'ErrorDiagnosis', 'CoreFeatures', 'FeatureIDE', 'pydepqbf', 'pyglucose', 'pipdeptree', 'ValidModel', 'setuptools', 'SPLOT', 'UVL', 'System', 'pycosat', 'SimpleParse', 'antlr4-python3-runtime', 'Glucose', 'python-sat', 'Solvers', 'Operations', 'Linux', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'AllProducts', 'FeatureModel', 'six', 'pip', 'PicoSAT', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'pyPicosat', 'satyrn', 'ErrorDetection', 'ebnf', 'AAFMFramework', 'pkg-resources']"
25, "UCT Algorithm", 1, 0.5, 0.21941471099853516, 49, True, 4, 98, 49, "['lark-parser', 'wheel', 'DecisionModel', 'MiniSAT', 'ParserTechnology', 'ValidConfiguration', 'pycryptosat', 'ErrorDiagnosis', 'CoreFeatures', 'pydepqbf', 'pyglucose', 'pipdeptree', 'FeatureIDE', 'ValidModel', 'setuptools', 'UVL', 'SPLOT', 'System', 'pycosat', 'SimpleParse', 'python-sat', 'antlr4-python3-runtime', 'Solvers', 'Operations', 'Linux', 'umo', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'FeatureModel', 'six', 'ValidProduct', 'AllProducts', 'pip', 'Utils', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'pyPicosat', 'satyrn', 'ErrorDetection', 'pylgl', 'ebnf', 'AAFMFramework', 'pkg-resources']"
26, "UCT Algorithm", 1, 0.5, 0.26096510887145996, 44, True, 9, 88, 44, "['lark-parser', 'wheel', 'MiniSAT', 'Win', 'DecisionModel', 'ValidConfiguration', 'ParserTechnology', 'CoreFeatures', 'ErrorDiagnosis', 'pycryptosat', 'FeatureIDE', 'pyglucose', 'ValidModel', 'UVL', 'setuptools', 'SPLOT', 'System', 'pycosat', 'Glucose', 'python-sat', 'Solvers', 'Operations', 'AutomatedReasoning', 'pybind11', 'ValidProduct', 'AllProducts', 'FeatureModel', 'DepMng', 'six', 'CNFModel', 'PicoSAT', 'pip', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'satyrn', 'ErrorDetection', 'pylgl', 'AAFMFramework']"
27, "UCT Algorithm", 1, 0.5, 0.24936127662658691, 39, True, 14, 78, 39, "['lark-parser', 'wheel', 'MiniSAT', 'DecisionModel', 'ParserTechnology', 'pipdeptree', 'pydepqbf', 'pyglucose', 'ValidModel', 'setuptools', 'UVL', 'System', 'pycosat', 'Glucose', 'Solvers', 'Operations', 'Linux', 'AutomatedReasoning', 'pybind11', 'ValidProduct', 'DepMng', 'six', 'FeatureModel', 'AllProducts', 'CNFModel', 'pip', 'PicoSAT', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'satyrn', 'ErrorDetection', 'ebnf', 'AAFMFramework', 'pkg-resources']"
28, "UCT Algorithm", 1, 0.5, 0.19946622848510742, 33, True, 20, 66, 33, "['wheel', 'DecisionModel', 'Win', 'MiniSAT', 'ValidConfiguration', 'ErrorDiagnosis', 'FeatureIDE', 'setuptools', 'SPLOT', 'System', 'pycosat', 'Glucose', 'python-sat', 'Solvers', 'Operations', 'AutomatedReasoning', 'pybind11', 'CNFModel', 'DepMng', 'FeatureModel', 'six', 'AllProducts', 'PicoSAT', 'pip', 'Utils', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'satyrn', 'ErrorDetection', 'pylgl', 'AAFMFramework']"
29, "UCT Algorithm", 1, 0.5, 0.26432132720947266, 46, True, 7, 92, 46, "['lark-parser', 'wheel', 'MiniSAT', 'Win', 'DecisionModel', 'ValidConfiguration', 'ParserTechnology', 'CoreFeatures', 'ErrorDiagnosis', 'pycryptosat', 'FeatureIDE', 'pyglucose', 'ValidModel', 'UVL', 'setuptools', 'SPLOT', 'System', 'pycosat', 'SimpleParse', 'Glucose', 'antlr4-python3-runtime', 'Solvers', 'Operations', 'AutomatedReasoning', 'pybind11', 'ValidProduct', 'AllProducts', 'DepMng', 'six', 'FeatureModel', 'CNFModel', 'PicoSAT', 'pip', 'Utils', 'Lingeling', 'satispy', 'Metamodels', 'Packages', 'APISolvers', 'Interoperability', 'DeadFeatures', 'satyrn', 'ErrorDetection', 'ebnf', 'AAFMFramework', 'pkg-resources']"
